Surface,N,R_mean,R_var,R_std,G_mean,G_var,G_std,B_mean,B_var,B_std,Gray_mean,Gray_var,Gray_std
Дорога,12,173.90997823079428,185.3890225427705,13.61576375172434,165.62294260660806,232.02726639785354,15.232441248790476,118.47016461690266,191.6926077844687,13.84530995624398,162.7253506978353,208.13952793060116,14.427041551565628
Трава,12,125.08101844787598,197.0322310586939,14.036816984583574,122.42078145345052,107.23705329119834,10.355532496747733,71.64223257700603,97.04367245485155,9.85107468527427,117.42743682861328,124.97698855611749,11.17931073707666
Поле,12,171.87397003173828,417.56384438511236,20.43437898212501,148.49819946289062,454.3190508670999,21.31476133732442,105.54320907592773,256.99814111707116,16.03116156481093,150.59068616231283,404.9010466401916,20.122153131317525
Столбики в поле,12,175.50874455769858,439.436997100307,20.962752612677253,167.6653823852539,512.2185796009144,22.632246455023292,151.32124519348145,656.7441027861482,25.627018999215423,168.14731534322104,494.18319126800066,22.23023147130953
